apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_don,a_donacc,a_nCl,a_nF,a_nN,a_nS,balabanJ,b_1rotN,b_double,b_max1len,chiral,chiral_u,diameter,GCUT_PEOE_3,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,lip_druglike,lip_violation,logP(o/w),logS,opr_brigid,opr_leadlike,opr_nring,opr_violation,PEOE_PC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-6,PEOE_VSA_NEG,petitjeanSC,radius,reactive,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjMa,VDistEq,vsa_don,weinerPath,Permeability
250.66112,4,6,16,12,6,22,0,0,13,1,2.0204024,25,13,4,10,0,25,3.5896962,57.899872,41.894489,10.146653,10.146653,-15.639536,1.3622583,19.29801,0,14,14,1,0,0,3,5.7379999,-14.18721,52,0,3,4,-7.7983551,537.83752,44.566521,266.50381,112.75955,19.649082,142.44484,31.384512,162.50203,8.0752068,32.016521,0,36.297226,13.566921,415.26096,0.3888889,18,0,3.6407399,113.83323,141.53038,110.63747,24.014334,233.91393,0,176.43184,264.15768,366.58615,50.379738,106.09119,48.677517,0,478.32632,179.00165,569.40399,362.35001,7.794416,4.4388781,30.805511,68236,-7.22
226.83302,4,6,14,12,5,19,0,3,12,0,1.9348837,18,12,6,11,1,25,3.5217137,50.621067,38.559265,9.472414,9.4724159,-14.366142,0,18.291765,-1.52E-05,11.817035,14,1.0001843,9.09E-06,0,2,5.0437598,-12.5454,52,0,3,3,-7.7529621,413.57813,31.616989,293.70374,124.71242,19.649082,150.90337,9.0455017,162.50203,0,0,35.725906,36.297226,2.503756,399.83197,0.3888889,18,0,3.41154,97.42823,95.859428,97.171249,24.014334,268.01712,0,176.43184,150.94725,378.1405,95.260078,97.445702,52.659485,0,365.11591,160.27666,563.54047,308.34,7.7004399,4.4353051,22.730305,58470,-5.7
181.59213,4,6,10,0,4,14,0,0,10,0,1.817667,11,10,3,11,0,21,3.5102603,37.046478,27.103016,7.1606913,7.1606913,-10.937815,0,10.13457,0,14,14,1,0,0,2,5.625,-11.02789,42,0,3,3,-5.4740973,569.45453,0,162.59691,66.995514,0,129.49532,0,0,0,0,0,22.730305,0,158.39951,0.3125,16,0,3.2995999,72.042999,71.333717,55.318733,26.464777,98.691559,0,0,207.55246,433.23819,18.745884,98.507782,39.819687,0,207.55246,107.90657,531.92975,238.25999,7.3037806,4.1456323,22.730305,27018,-5.12
77.477722,3,5,4,6,4,8,0,0,4,0,2.0276518,4,3,3,3,0,14,2.9531586,15.855846,8.1039457,2.7226908,3.3558371,-4.6975799,0,6.1053581,0.76741105,14,6.4815612,1.7201056,0.86949581,1,0,3.473,-5.0623298,23,1,1,1,-1.7386557,185.28485,36.108002,20.299505,20.098654,0,38.848595,0,81.251015,0,0,0,22.730305,0,144.68208,0.75,8,0,2.30317,72.042999,15.776351,36.879158,7.5963712,18.868406,0,88.215919,113.21043,99.978043,0,76.453796,15.131481,0,220.29475,52.655506,99.978043,99.330002,6.044394,3.5835111,17.047728,3005,-4.16
123.53555,3,5,7,0,5,12,0,0,7,0,2.0245066,12,7,3,6,0,18,3.3075449,28.691803,16.192698,4.3461485,4.3461485,-6.9917955,0,7.0939612,0,14,14,1,0,0,2,3.5610001,-8.16152,27,0,2,3,-3.6589181,386.3782,15.808495,60.898518,40.197308,12.949531,77.697189,0,0,0,0,0,28.41288,0,123.38132,0.63636363,11,0,2.0020001,90.053757,43.060112,55.318733,17.643185,0,0,0,188.68405,266.60812,6.2486277,107.69694,23.891811,0,188.68405,92.130219,266.60812,186.12,6.7548876,3.8366604,28.41288,9917,-6.41
70.758965,3,5,4,6,4,8,0,0,4,0,2.1372931,4,4,3,3,0,13,2.9099202,18.81908,9.2537041,2.2796597,2.2796597,-4.0907664,0,7.1185589,0,14,14,1,0,1,0,1.753,-4.4311199,21,1,1,1,-2.0276272,137.85938,31.616989,20.299505,20.098654,0,51.798122,0,81.251015,0,0,0,22.730305,0,158.24899,0.85714287,7,0,1.04957,72.042999,21.035135,18.439579,7.5963712,18.868406,0,88.215919,75.473625,99.978043,0,76.453796,15.131481,0,182.55795,39.474712,99.978043,116.4,6,3.4283929,22.730305,2620,-5.45
130.95793,3,5,8,0,4,12,0,0,8,0,2.0536637,6,8,3,8,0,18,3.3354802,30.39098,20.454559,3.5690048,3.5690048,-7.1612597,0,8.1075039,0,14,14,1,0,0,2,2.592,-7.0355,32,0,2,3,-4.3120036,397.76962,0,108.39793,53.596409,0,103.59624,0,0,0,0,0,22.730305,0,131.26567,0.5,12,0,1.0192,72.042999,54.567524,36.879158,17.643185,65.794373,0,0,113.21043,333.26016,12.497255,89.686188,31.855749,0,113.21043,78.949425,399.05453,197.64,6.8579812,3.8668962,22.730305,11935,-6.03
125.28875,4,6,7,6,4,11,0,0,6,0,2.1221468,10,6,3,6,0,18,3.3634553,25.893,16.589384,6.3165488,6.3162031,-8.1990976,0,9.3327312,-0.0030075,9.5204859,14,1.0206773,0.001795667,0,2,5.1370001,-8.7143097,28,0,2,3,-3.4463248,370.5697,15.808495,96.556946,40.197308,0,77.697189,0,33.825527,0,0,13.566921,17.047728,0,145.84171,0.63636363,11,0,3.23207,79.41748,40.925644,18.439579,20.82876,84.662781,0,70.572739,113.21043,271.85153,34.758167,71.675438,32.320816,0,202.65158,49.992279,332.4025,168.46001,6.7813597,3.7726858,17.047728,10009,-4.97
119.10158,3,5,7,6,6,13,0,0,6,0,2.0460277,10,6,3,6,0,18,3.2811358,27.909342,13.617006,5.2361755,5.2358351,-7.4021039,0,9.3322983,-0.003005458,9.5207825,14,1.0206653,0.001794446,0,3,4.743,-8.9262896,28,0,2,4,-3.2801487,370.5697,15.808495,28.758026,40.197308,0,77.697189,0,33.825527,0,0,13.566921,28.41288,0,157.20685,0.63636363,11,0,2.5476699,115.43898,34.677017,18.439579,20.82876,18.868406,0,70.572739,113.21043,271.85153,28.509541,107.69694,32.320816,0,202.65158,49.992279,266.60812,186.03999,6.7279205,3.7812338,28.41288,9274,-7.35
227.1624,4,6,14,12,6,20,0,0,12,0,1.9082668,16,12,4,12,0,26,3.5098209,50.477283,36.485268,8.7347965,8.7347965,-13.925415,0,18.291523,0,14,14,1,0,0,3,4.612,-12.4737,52,0,3,4,-7.1872005,515.40344,15.808495,259.80426,90.812958,13.399102,155.39438,0,162.50203,0,0,0,41.979801,2.503756,369.78864,0.44444445,18,0,3.05794,115.43898,84.975601,57.805416,19.603539,235.11993,0,176.43184,150.94725,433.23819,47.255424,103.28614,56.641457,0,365.11591,120.91082,630.62134,317.13,7.6582117,4.4227328,28.41288,54182,-5.96
