apol,ast_violation,a_acc,a_aro,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_nC,a_nF,a_nH,a_nN,a_nO,a_nS,balabanJ,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SMR_1,bpol,b_1rotN,b_double,b_max1len,chi1v,chi1v_C,chi1_C,chiral,chiral_u,diameter,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstrain,Kier2,Kier3,KierA2,KierFlex,lip_acc,lip_violation,logP(o/w),logS,opr_brigid,opr_nring,opr_nrot,opr_violation,PEOE_PC+,PEOE_PC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjeanSC,radius,reactive,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VDistEq,vsa_don,weinerPath,weinerPol,Permeability
153.74306,2,10,6,1,11,67,39,220.09982,48,0,77,9,10,0,2.1690004,-0.1912158,0.069589056,-0.11397943,0.12452939,0.075578384,110.61894,7,9,3,23.573875,13.282965,14.551209,9,0,20,18.39999,32.623085,30.820078,5.2938762,5.2935529,-9.2636919,12.374055,-0.002997402,9.5219517,14,0.001789629,27.885,14.403325,21.949081,15.866542,19,2,2.3280001,-5.9711699,37,2,24,3,5.4357982,-5.4357982,348.13559,15.808495,299.9537,60.295959,0,116.54578,0,33.825527,0,0,13.566921,0,122.10229,0,771.58624,169.49474,122.10229,238.64807,840.73956,116.54578,0.42857143,14,0,0,1.64507,25.385227,75.447876,250.59767,18.439579,3.185575,282.0459,0,70.572739,132.07884,238.52553,53.504051,0,44.26672,0,221.51997,65.768631,496.45959,203.02,4.029263,0,19137,129,-6.8899999
115.10761,3,7,6,5,12,51,30,163.13203,37,0,55,7,7,0,1.6701568,-0.51731247,0.49952161,-0.48056549,0.48511642,-0.34828678,74.092384,6,7,3,18.434797,12.716486,13.989601,9,0,17,13.514487,29.050985,16.582159,2.7235687,2.7235687,-6.5259943,10.15866,0,14,14,0,20.784279,11.52,16.052479,10.686312,14,2,2.2,-6.8158798,35,3,18,3,3.6772799,-3.6772799,275.71875,15.808495,40.59901,46.896858,0,90.646713,0,81.251015,0,0,0,28.41288,94.968445,0,460.27411,204.63234,123.38132,214.02805,469.66983,90.646713,0.54545456,11,0,0,0.78066999,90.053757,43.060112,194.9093,36.879158,12.007167,18.868406,0,88.215919,113.21043,199.95609,6.2486277,98.875343,31.059357,0,220.29475,73.690643,199.95609,186.12,3.7867167,28.41288,9303,87,-6.2199998
134.5695,3,7,6,1,8,56,37,181.59682,43,0,70,6,7,0,2.2466099,-0.29900041,0.23256846,-0.23645204,0.22928761,-0.060756069,94.152489,10,6,3,20.499739,13.608256,14.742526,6,0,18,12.545918,22.865059,21.062048,7.937911,7.9375877,-9.3946037,9.3333778,-0.002997421,9.5219488,14,0.00178964,22.729591,13.25,18.504,13.598128,13,2,5.7280002,-8.3963404,28,2,21,3,3.6956956,-3.6956956,370.5697,15.808495,198.25533,40.197308,0,77.697189,0,33.825527,0,0,13.566921,0,81.401527,0,672.22327,128.79398,81.401527,159.09871,702.52802,77.697189,0.63636363,11,0,0,4.2586699,25.385227,50.298584,167.06511,18.439579,20.82876,183.35434,0,70.572739,113.21043,271.85153,44.131111,17.643185,32.320816,0,202.65158,49.992279,431.09406,142.09,3.7541277,0,11130,100,-5.46
115.20599,2,6,6,2,8,49,31,157.80475,37,0,58,6,6,0,2.0981843,-0.48498702,0.45561484,-0.41637796,0.42007706,-0.31663829,78.394005,8,6,3,17.873075,11.985888,13.214346,6,0,16,11.63705,22.897604,17.923803,5.2752013,5.2752013,-7.5515432,9.1457863,0,14,14,0,20.453703,11.494794,16.132343,11.328771,12,2,4.0419998,-6.90939,28,2,19,3,3.3446419,-3.3446419,275.71875,15.808495,121.99789,40.197308,0,77.697189,0,81.251015,0,0,0,11.365152,81.401527,0,534.97345,174.01768,92.766678,170.46387,531.41962,77.697189,0.60000002,10,0,0,2.5964701,36.0215,44.049957,167.06511,18.439579,12.007167,117.55997,0,88.215919,113.21043,199.95609,12.497255,44.843094,27.077387,0,220.29475,49.992279,298.64764,139.44,3.6643569,11.365152,8021,86,-4.4899998
148.03958,3,8,29,2,10,67,47,197.21687,52,0,60,8,6,1,1.2204452,-0.57917017,0.58134627,-0.53807992,0.67740428,-0.39742285,85.50042,14,6,4,24.097326,15.870681,19.831633,5,0,21,16.045868,27.669998,22.641283,7.8369617,7.8446536,-12.400525,20.720346,0.017785413,14,8.7421427,0.010698459,28.451178,16.245178,21.266998,13.054308,14,2,4.5100002,-8.7332401,51,6,25,5,3.9659514,-3.9659514,155.44307,88.024498,108.39793,73.557877,0,77.697189,0,261.77008,17.784555,0,0,17.047728,87.084099,0,704.97803,383.68646,104.13183,181.82901,503.12057,77.697189,0.75,12,0,0.40298507,4.67835,36.0215,77.621017,163.08315,55.318733,15.499047,160.1364,0,365.56604,94.342026,31.277687,46.068314,36.0215,35.40889,0,554.25012,86.871437,97.07206,165.22,4.0514793,11.365152,19280,107,-5.4000001
122.99717,3,8,6,4,12,53,33,172.43073,39,0,62,6,8,0,2.1578114,-0.46296448,0.4894082,-0.48009652,0.45632133,-0.33067527,82.76683,9,6,3,18.916735,12.547743,13.682013,7,0,17,13.724206,26.490774,18.368816,5.2575564,5.2572274,-7.5250516,9.3328619,-0.003000041,9.5215683,14,0.001791207,21.671528,13,17.424,12.57663,14,2,3.3469999,-7.1735702,28,2,20,3,3.7479904,-3.7479904,323.14423,15.808495,130.45641,48.655827,0,77.697189,0,33.825527,0,0,13.566921,24.932074,81.401527,0,565.4574,153.72604,106.3336,184.03078,595.76215,77.697189,0.69999999,10,0,0.094339624,1.90897,86.791954,44.049957,173.53375,18.439579,16.417963,117.55997,0,70.572739,94.342026,238.52553,63.267708,49.253891,38.789463,0,183.78317,49.992279,331.97366,179.89999,3.7390244,11.365152,9842,92,-5.3299999
148.41869,4,8,6,5,13,63,39,210.847,46,0,74,8,8,1,2.0799108,-0.49719235,0.41256914,-0.44158646,0.39327037,-0.30101088,100.08132,15,8,4,24.250498,15.324681,16.652493,7,0,21,16.725521,33.0289,20.882397,6.4377675,6.4377675,-9.5386143,11.17256,0,14,14,0,31.192806,18.446281,25.425613,18.919882,16,2,4.71,-10.41328,34,2,31,3,4.389626,-4.389626,338.95273,33.593052,105.88299,80.796318,0,103.59624,0,81.251015,0,19.760618,0,28.41288,108.53537,0,660.23669,237.95988,136.94824,240.54449,662.82135,103.59624,0.61538464,13,0,0.079365082,3.06687,90.053757,51.443211,218.77151,52.906708,3.185575,117.55997,0,88.215919,264.15768,165.52361,9.372942,90.053757,31.059357,0,371.242,94.976974,264.21515,206.42999,4.0221257,28.41288,16763,102,-6.0999999
119.10158,3,7,6,6,13,51,32,165.18422,38,0,60,6,7,0,2.0460277,-0.50165725,0.45702431,-0.49280825,0.40324017,-0.33293369,76.620422,10,6,3,18.548018,13.608256,14.742526,6,0,18,12.432714,27.909342,13.617006,5.2361755,5.2358351,-7.4021039,9.3322983,-0.003005458,9.5207825,14,0.001794446,21.922937,14.876033,17.464907,12.441095,13,3,4.743,-8.9262896,28,2,21,4,3.2801487,-3.2801487,370.5697,15.808495,28.758026,40.197308,0,77.697189,0,33.825527,0,0,13.566921,28.41288,81.401527,0,502.72598,157.20685,109.81441,187.5116,533.0307,77.697189,0.63636363,11,0,0,2.5476699,115.43898,34.677017,167.06511,18.439579,20.82876,18.868406,0,70.572739,113.21043,271.85153,28.509541,107.69694,32.320816,0,202.65158,49.992279,266.60812,186.03999,3.7812338,28.41288,9274,80,-6.02
133.04913,4,7,6,5,12,56,35,188.53871,41,0,67,7,7,1,2.618315,-0.46923053,0.40960556,-0.43348971,0.37116346,-0.29605588,89.490868,15,7,4,21.551416,13.627758,14.91091,6,0,18,14.781322,29.874765,17.738398,6.3196363,6.3196363,-8.688158,10.15904,0,14,14,0,29.287802,18.259451,23.885317,18.20565,14,2,4.7329998,-9.7943201,27,1,30,3,3.8076024,-3.8076024,307.33572,33.593052,85.583481,74.096771,0,90.646713,0,81.251015,0,19.760618,0,28.41288,94.968445,0,601.62067,224.39296,123.38132,214.02805,591.25574,90.646713,0.5,12,0,0.089285716,3.07587,90.053757,43.060112,190.92732,34.467129,3.185575,117.55997,0,88.215919,226.42087,165.52361,6.2486277,90.053757,27.077387,0,333.50519,71.278618,264.21515,186.12,3.884021,28.41288,12212,89,-5.8200002
151.51227,4,8,6,4,12,64,40,214.19145,47,0,76,8,8,1,2.1106884,-0.4890447,0.40960902,-0.43000433,0.39235905,-0.29553929,103.58773,15,8,4,24.640842,15.324681,16.652493,7,0,21,16.748262,32.01548,22.372311,6.97932,6.97932,-9.9377422,11.172777,0,14,14,0,31.272211,18.042782,25.576958,19.12307,16,2,4.9070001,-10.30729,34,2,31,3,4.472723,-4.472723,338.95273,33.593052,139.78244,80.796318,0,103.59624,0,81.251015,0,19.760618,0,22.730305,108.53537,0,694.13617,232.2773,131.26567,234.86192,696.72076,103.59624,0.61538464,13,0,0.078125,3.40907,72.042999,54.567524,218.77151,52.906708,3.185575,150.45715,0,88.215919,264.15768,165.52361,12.497255,72.042999,31.059357,0,371.242,94.976974,297.11237,197.64,4.0207162,22.730305,17301,106,-5.1900001
